Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Temparature degree cellcius,Year,,Random,
Wheat,Jamalpur,13785,10380,12.5,,1981,,0.847305074,32
Wheat,Tangail,45115,36095,26.92,,1981,,0.847111085,32
Wheat,Faridpur,94215,75170,40,,1981,,0.845715113,31
Wheat,Bandarban,0,0,26.92,,1981,,0.844721121,32
Wheat,Rajshahi,142080,107575,17.75,,1982,,0.843710145,31
Wheat,Bogra,62870,51345,4,,1982,,0.843405498,31
Wheat,Kishoregonj,24320,14240,12.93,,1982,,0.842596697,31
Wheat,Barisal,7305,4435,25.5,,1982,,0.84117361,31
Wheat,Jamalpur,19330,17065,12.93,,1982,,0.840901019,32
Wheat,Jessore,77490,55445,6.5,,1982,,0.840215919,32
Wheat,Khagrachari,0,0,12.93,,1982,,0.840140584,32
Wheat,Tangail,42525,37550,12.93,,1982,,0.839533262,32
Wheat,Pabna,101095,97570,12.93,,1982,,0.838896428,32
Wheat,Sylhet,15675,13630,8,,1982,,0.838445786,32
Wheat,Bandarban,0,0,12.93,,1982,,0.837554019,32
Wheat,Patuakhali,300,160,13,,1982,,0.836693439,32
Wheat,Mymensingh,15525,17345,2.5,,1982,,0.83579055,32
Wheat,Rangpur,193830,167230,2.25,,1982,,0.835702675,32
Wheat,Faridpur,98200,92625,35,,1982,,0.835439303,33
Wheat,Dhaka,59690,46420,16.5,,1982,,0.835354461,32
Wheat,Khulna,5935,5030,11.75,,1982,,0.833862408,33
Wheat,Noakhali,2600,1355,13.25,,1982,,0.833158986,32
Wheat,Kustia,115940,130030,12.93,,1982,,0.832634741,32
Wheat,Rangamati,0,0,19.5,,1982,,0.832182556,31
Wheat,Comilla,157700,107585,11,,1982,,0.831605991,32
Wheat,Dinajpur,140465,111175,7.75,,1982,,0.831039863,32
Wheat,Chittagonj,495,230,12.75,,1982,,0.831025675,32
Wheat,Mymensingh,19190,19900,5.75,,1983,,0.828689109,32
Wheat,Kishoregonj,20160,19635,23.59,,1983,,0.828468814,32
Wheat,Patuakhali,80,35,38,,1983,,0.827827111,32
Wheat,Tangail,38570,39210,23.59,,1983,,0.826681619,32
Wheat,Faridpur,100360,98880,18.5,,1983,,0.824252175,31
Wheat,Barisal,4590,1755,28.5,,1983,,0.822425336,32
Wheat,Rangamati,15,5,60.5,,1983,,0.82199392,32
Wheat,Bandarban,15,5,23.59,,1983,,0.821094324,32
Wheat,Kustia,131030,129845,23.59,,1983,,0.820827107,32
Wheat,Jamalpur,34525,30115,23.59,,1983,,0.820666728,31
Wheat,Bogra,62370,60700,10.25,,1983,,0.820067641,31
Wheat,Rangpur,195575,170840,8.5,,1983,,0.818854438,31
Wheat,Sylhet,9865,8700,16,,1983,,0.818720567,31
Wheat,Khulna,4800,4635,30.25,,1983,,0.81815397,30
Wheat,Pabna,108505,105690,23.59,,1983,,0.816883131,31
Wheat,Chittagonj,450,195,39.5,,1983,,0.816730908,32
Wheat,Noakhali,2205,1280,25,,1983,,0.816588808,32
Wheat,Rajshahi,123830,110540,6.75,,1983,,0.816273157,32
Wheat,Dinajpur,166010,140875,10.75,,1983,,0.815381598,32
Wheat,Jessore,60645,58400,38,,1983,,0.8150981,32
Wheat,Dhaka,59945,49680,23.25,,1983,,0.813584847,31
Wheat,Comilla,157010,141380,18,,1983,,0.813549184,31
Wheat,Khagrachari,10,5,23.59,,1983,,0.81318257,31
Wheat,Sylhet,17565,15800,20.75,,1984,,0.8122904,32
Wheat,Rangpur,235470,196160,9.25,,1984,,0.809771266,31
Wheat,Khulna,6000,5605,9.75,,1984,,0.809568274,32
Wheat,Kustia,148590,136095,7.45,,1984,,0.809190409,32
Wheat,Jessore,101120,100530,13,,1984,,0.807974345,33
Wheat,Patuakhali,130,65,3.25,,1984,,0.807583952,32
Wheat,Bandarban,10,5,7.45,,1984,,0.804906298,32
Wheat,Comilla,160000,154625,4.75,,1984,,0.804879232,31
Wheat,Kishoregonj,23945,21445,7.45,,1984,,0.804500068,31
Wheat,Faridpur,144370,140215,10,,1984,,0.803404916,33
Wheat,Rangamati,20,5,3.5,,1984,,0.803193369,32
Wheat,Jamalpur,56380,46490,7.45,,1984,,0.80291185,32
Wheat,Chittagonj,455,210,0.75,,1984,,0.802753848,32
Wheat,Rajshahi,184055,154430,3.5,,1984,,0.802427064,33
Wheat,Khagrachari,25,10,7.45,,1984,,0.800985916,33
Wheat,Noakhali,6315,3040,9.25,,1984,,0.8007876,32
Wheat,Bogra,86035,79795,7.25,,1984,,0.799717587,33
Wheat,Mymensingh,28795,26340,3.25,,1984,,0.799627873,32
Wheat,Barisal,7805,4430,4.25,,1984,,0.799119189,32
Wheat,Dhaka,92890,77940,3.5,,1984,,0.798330575,32
Wheat,Tangail,52750,46540,7.45,,1984,,0.798197449,32
Wheat,Dinajpur,155490,119185,13.25,,1984,,0.798090825,33
Wheat,Pabna,162845,134670,7.45,,1984,,0.797836477,32
Wheat,Barisal,9755,6705,2.75,,1985,,0.797298524,33
Wheat,Tangail,56695,49540,11.39,,1985,,0.797293256,33
