Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Temparature Data,Year
Wheat,24,1.353118844,75490,0.632183908,,1991
Wheat,17,0.524359816,33700,0.747126437,,1991
Wheat,18,0.000525279,10,0.666666667,,1991
Wheat,19,2.428365069,146390,0.431034483,,1991
Wheat,22,0.150361129,8380,0.632183908,,1992
Wheat,20,0.000393959,10,0.902298851,,1992
Wheat,1,2.333946159,112860,0.166666667,,1992
Wheat,2,0.009980302,220,0.609195402,,1992
Wheat,4,0.001575837,70,0.46183908,,1992
Wheat,5,0.029415627,1070,0.620689655,,1992
Wheat,6,0.257124097,14470,0.333333333,,1992
Wheat,7,3.030334865,171450,0.126436782,,1992
Wheat,21,2.686539724,139110,0.46183908,,1992
Wheat,8,0.00013132,10,0.46183908,,1992
Wheat,23,0.057912016,3640,1.24137931,,1992
Wheat,9,1.047143795,57410,0.287356322,,1992
Wheat,10,0.441891005,25000,0.46183908,,1992
Wheat,11,0.911621799,51160,0.46183908,,1992
Wheat,12,1.590282337,117590,0.46183908,,1992
Wheat,13,0.43348654,23600,0.252873563,,1992
Wheat,14,1.608798424,98250,0.614942529,,1992
Wheat,15,0.69455023,41890,0.298850575,,1992
Wheat,16,0.519894944,35390,0.097701149,,1992
Wheat,24,1.963493106,124400,0.224137931,,1992
Wheat,17,0.000919238,60,0.689655172,,1992
Wheat,18,1.423637557,85210,0.379310345,,1992
Wheat,19,1.475377544,664380,0.373563218,,1992
Wheat,22,1.973867367,119220,0.33908046,,1993
Wheat,20,0.24438608,10900,1.068965517,,1993
Wheat,1,1.015364412,57660,0.408045977,,1993
Wheat,2,0.163230466,8620,0.327586207,,1993
Wheat,4,1.236769534,71850,0.327586207,,1993
Wheat,5,0,0,0.537471264,,1993
Wheat,6,1.487327643,98710,0.537471264,,1993
Wheat,7,0.772948129,42600,0.114942529,,1993
Wheat,21,2.608141825,133510,0.537471264,,1993
Wheat,8,2.806172029,152900,0.327586207,,1993
Wheat,23,0.000525279,20,0.540229885,,1993
Wheat,9,1.476690742,92250,0.977011494,,1993
Wheat,10,0.002757715,180,0.91954023,,1993
Wheat,11,0,0,0.537471264,,1993
Wheat,12,0.417596848,22250,0.471264368,,1993
Wheat,13,0.040577807,2130,0.908045977,,1993
Wheat,14,0.831779383,45340,0.537471264,,1993
Wheat,15,0.452396586,24650,0.537471264,,1993
Wheat,16,0.540380827,36830,0.431034483,,1993
Wheat,24,0.01641497,610,0.551724138,,1993
Wheat,17,0.087327643,6260,0.781609195,,1993
Wheat,18,2.146027577,109060,0.431034483,,1993
Wheat,19,1.641497045,95500,0.212643678,,1993
Wheat,22,2.770584373,144590,0.262298851,,1994
Wheat,20,0.385292186,19770,0.385057471,,1994
Wheat,1,1.346027577,69060,0.252873563,,1994
Wheat,2,0.855942219,51870,0.262298851,,1994
Wheat,4,0.001969796,130,0.132183908,,1994
Wheat,5,1.950755089,133520,0.247126437,,1994
Wheat,6,0.106500328,7360,0.120689655,,1994
Wheat,7,0.195666448,11140,0.137931034,,1994
Wheat,21,0,0,0.262298851,,1994
Wheat,8,0,0,0.262298851,,1994
Wheat,23,2.188049902,136830,0.25862069,,1994
Wheat,9,0.251871307,12980,0.402298851,,1994
Wheat,10,5.265791202,39670,0.25862069,,1994
