Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Year
Wheat,Bogra,48700,46860,26.25,1995
Wheat,Chittagonj,260,130,83.75,1995
Wheat,Comilla,115590,104110,44,1995
Wheat,Dhaka,84420,69240,38,1995
Wheat,Dinajpur,230650,168750,23.5,1995
Wheat,Faridpur,124690,89640,28.5,1995
Wheat,Jamalpur,68810,52450,45.63,1995
Wheat,Jessore,161840,141540,39.5,1995
Wheat,Khagrachari,0,0,45.63,1995
Wheat,Khulna,12460,10970,70.5,1995
Wheat,Kishoregonj,35700,26460,45.63,1995
Wheat,Kustia,124770,107540,45.63,1995
Wheat,Mymensingh,35740,24490,32.5,1995
Wheat,Noakhali,1320,700,71,1995
Wheat,Pabna,237860,162300,45.63,1995
Wheat,Patuakhali,5,3,79,1995
Wheat,Rajshahi,180590,154100,23.25,1995
Wheat,Rangamati,20,20,57,1995
Wheat,Rangpur,180560,145920,29.5,1995
Wheat,Sylhet,9870,7040,35.25,1995
Wheat,Tangail,61200,46720,40.25,1995
Wheat,Bandarban,0,0,10.59,1996
Wheat,Barisal,15570,11290,6,1996
Wheat,Bogra,52830,50920,7.75,1996
Wheat,Chittagonj,325,160,27.5,1996
Wheat,Comilla,119670,105780,6.25,1996
Wheat,Dhaka,89640,71440,5.25,1996
Wheat,Dinajpur,247920,197850,5,1996
Wheat,Faridpur,132660,101610,4.25,1996
Wheat,Jamalpur,70890,55670,10.59,1996
Wheat,Jessore,148040,134780,16,1996
Wheat,Khagrachari,0,0,10.59,1996
Wheat,Khulna,7590,6770,6.5,1996
Wheat,Kishoregonj,35840,27960,10.59,1996
Wheat,Kustia,127250,117700,10.59,1996
Wheat,Mymensingh,27690,17990,3.5,1996
Wheat,Noakhali,1410,850,4.5,1996
Wheat,Pabna,244210,192250,10.59,1996
