Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Year
Wheat,9,12.46,10.97,70.5,1995
Wheat,10,35.7,26.46,45.63,1995
Wheat,11,124.77,107.54,45.63,1995
Wheat,12,35.74,24.49,32.5,1995
Wheat,13,1.32,0.7,71,1995
Wheat,14,237.86,162.3,45.63,1995
Wheat,15,0.005,0.003,79,1995
Wheat,16,180.59,154.1,23.25,1995
Wheat,24,0.02,0.02,57,1995
Wheat,17,180.56,145.92,29.5,1995
Wheat,18,9.87,7.04,35.25,1995
Wheat,19,61.2,46.72,40.25,1995
Wheat,22,0,0,10.59,1996
Wheat,20,15.57,11.29,6,1996
Wheat,1,52.83,50.92,7.75,1996
Wheat,2,0.325,0.16,27.5,1996
Wheat,4,119.67,105.78,6.25,1996
Wheat,5,89.64,71.44,5.25,1996
Wheat,6,247.92,197.85,5,1996
Wheat,7,132.66,101.61,4.25,1996
Wheat,21,70.89,55.67,10.59,1996
Wheat,8,148.04,134.78,16,1996
Wheat,23,0,0,10.59,1996
Wheat,9,7.59,6.77,6.5,1996
Wheat,10,35.84,27.96,10.59,1996
Wheat,11,127.25,117.7,10.59,1996
Wheat,12,27.69,17.99,3.5,1996
Wheat,13,1.41,0.85,4.5,1996
Wheat,14,244.21,192.25,10.59,1996
Wheat,15,0,0,20,1996
Wheat,16,178.45,152.54,5.25,1996
Wheat,24,0.015,0.01,25.75,1996
Wheat,17,182.46,157.8,3.25,1996
Wheat,18,4.4,2.82,19.5,1996
Wheat,19,6.22,47.91,13.75,1996
Wheat,22,0,0,15.88,1997
Wheat,20,16.79,12.2,13.5,1997
Wheat,1,56.77,55.12,12.5,1997
Wheat,2,0.35,0.22,21.25,1997
Wheat,4,133.09,119.97,12.5,1997
Wheat,5,97.81,84.85,8,1997
Wheat,6,310.56,293.87,17,1997
Wheat,7,141.04,118.82,27,1997
Wheat,21,80.72,74.06,15.88,1997
Wheat,8,165.6,155.15,20.5,1997
Wheat,23,0.012,0.005,15.88,1997
Wheat,9,8.36,7.54,13.25,1997
Wheat,10,40.27,33.13,15.88,1997
Wheat,11,143.02,134.26,15.88,1997
Wheat,12,33.45,25.1,11.25,1997
Wheat,13,1.81,1.24,10.75,1997
Wheat,14,253.42,227.88,15.88,1997
Wheat,15,0.002,0.001,13.5,1997
Wheat,16,200.8,183.64,27.25,1997
Wheat,24,0.016,0.01,12.25,1997
Wheat,17,228.34,215.21,15.5,1997
Wheat,18,5.07,3.62,17.25,1997
Wheat,19,71.12,56.92,16.75,1997
Wheat,22,0,0,37.64,1998
Wheat,20,27.42,17.75,118,1998
Wheat,1,57.42,54.03,8.25,1998
Wheat,2,0.37,0.23,58.25,1998
Wheat,4,149.29,126,49.75,1998
Wheat,5,105.63,88.08,34,1998
Wheat,6,345.17,316.18,4.75,1998
Wheat,7,153.26,123.86,41.5,1998
Wheat,21,93.63,80.17,37.64,1998
Wheat,8,164.06,152.24,47,1998
Wheat,23,0.01,0.005,37.64,1998
Wheat,9,9.39,8.41,70.5,1998
Wheat,10,46.57,37.32,37.64,1998
Wheat,11,148.72,140.5,37.64,1998
Wheat,12,35.63,26.27,12.75,1998
Wheat,13,3.1,2.14,62.25,1998
Wheat,14,260.82,230.15,37.64,1998
Wheat,15,0.06,0.04,50.75,1998
Wheat,16,217.61,187.07,13.5,1998
Wheat,24,0.02,0.02,29.75,1998
Wheat,17,273.26,249.9,3,1998
Wheat,18,5.6,4.03,16,1998
Wheat,19,82.6,64.04,20,1998
Wheat,22,0,0,7.6,1999
Wheat,20,27.84,19.22,0.75,1999
Wheat,1,57.5,56.49,7.6,1999
